human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
RLIM,0.000,7.120,Rlim,0.000,10.210,0.000
PIKFYVE,0.000,6.863,Pikfyve,0.000,3.413,0.000
CST7,0.237,1.459,Cst7,0.000,0.045,0.486
RHAG,0.268,0.000,Rhag,0.000,0.005,0.518
CTSD,0.000,75.504,Ctsd,0.000,81.910,0.000
STYXL1,0.000,10.660,Styxl1,0.000,0.026,0.000
ME1,0.000,0.553,Me1,0.000,1.311,0.000
ALDOA,0.000,259.135,Aldoa,0.000,239.300,0.000
TMEM222,0.000,20.080,Tmem222,0.000,21.700,0.000
WRAP53,0.000,10.992,Wrap53,0.000,7.383,0.000
TBC1D12,0.000,3.220,Tbc1d12,0.000,2.337,0.000
CBX7,0.316,2.414,Cbx7,0.000,0.636,0.562
OSGIN2,0.000,2.651,Osgin2,0.000,4.046,0.000
CYSLTR2,1.799,0.082,Cysltr2,0.000,0.000,1.341
MVD,0.000,18.489,Mvd,0.000,13.290,0.000
AIRN,0.000,0.000,Airn,0.000,1.426,0.000
NIPSNAP1,0.000,65.193,Nipsnap1,0.000,27.570,0.000
GAST,0.000,0.000,Gast,0.000,0.016,0.000
BLOC1S3,0.000,1.604,Bloc1s3,0.000,4.414,0.000
AVPR2,0.000,0.345,Avpr2,0.000,0.124,0.000
DEAF1,0.000,17.362,Deaf1,0.000,20.770,0.000
NEIL2,0.000,10.003,Neil2,0.000,0.382,0.000
KCNK3,0.000,0.128,Kcnk3,0.000,0.175,0.000
MRPL53,0.000,28.148,Mrpl53,0.000,34.550,0.000
NDUFAF4,0.000,5.049,Ndufaf4,0.000,4.954,0.000
PHF5A,0.000,31.447,Phf5a,0.000,32.920,0.000
MRPL14,0.000,36.474,Mrpl14,0.000,31.950,0.000
HNRNPUL1,0.000,82.131,Hnrnpul1,0.000,66.330,0.000
RPA1,0.000,29.321,Rpa1,0.000,32.990,0.000
LY6G6F,0.000,0.000,Ly6g6f,0.000,0.000,0.000
DLGAP4,0.536,32.224,Dlgap4,0.000,16.140,0.732
SETD6,0.000,6.995,Setd6,0.000,4.793,0.000
APOC1,0.000,7.648,Apoc1,0.000,0.807,0.000
RIT1,0.000,8.909,Rit1,0.000,5.337,0.000
IFIH1,0.000,0.313,Ifih1,0.000,0.146,0.000
ENSA,0.000,83.238,Ensa,0.000,42.060,0.000
B3GALT4,0.000,0.586,B3galt4,0.000,0.889,0.000
CLPP,0.000,28.393,Clpp,0.000,31.610,0.000
ARHGEF7,0.631,22.104,Arhgef7,0.000,17.670,0.794
CD2BP2,0.000,26.083,Cd2bp2,0.000,22.120,0.000
SAMD1,0.000,58.279,Samd1,0.000,42.400,0.000
HSF1,0.000,37.092,Hsf1,0.000,25.340,0.000
DAZAP1,0.000,44.513,Dazap1,0.000,57.490,0.000
CCDC7,0.000,0.345,Ccdc7,0.000,0.000,0.000
ATP6V0A1,0.000,11.291,Atp6v0a1,0.000,8.611,0.000
TEX28,0.000,0.000,Tex28,0.000,0.000,0.000
PDXK,0.000,11.698,Pdxk,0.000,4.835,0.000
ADAP2,0.000,2.237,Adap2,0.000,0.588,0.000
PNMA3,0.000,4.081,Pnma3,0.000,0.133,0.000
KCTD11,0.000,5.382,Kctd11,0.000,2.759,0.000
SEC16A,0.000,17.250,Sec16a,0.000,15.640,0.000
MYL6B,0.000,61.419,Myl6b,0.000,7.651,0.000
BNIP1,0.000,5.578,Bnip1,0.000,13.910,0.000
GRPR,0.394,0.039,Grpr,0.000,0.000,0.628
UGT3A1,0.363,1.040,Ugt3a1,0.000,0.029,0.602
AIRE,0.000,0.379,Aire,0.000,0.021,0.000
HMX2,0.000,0.000,Hmx2,0.000,0.013,0.000
YTHDC1,0.000,16.393,Ythdc1,0.000,25.860,0.000
HPN,0.536,0.793,Hpn,0.000,1.651,0.732
TCTN2,0.000,10.627,Tctn2,0.000,9.556,0.000
KCNIP3,0.331,11.550,Kcnip3,0.000,1.374,0.576
PSMB3,0.000,64.393,Psmb3,0.000,92.340,0.000
DPH2,0.000,10.225,Dph2,0.000,5.801,0.000
BAG5,0.000,7.620,Bag5,0.000,15.930,0.000
ZUFSP,0.000,3.605,Zufsp,0.000,4.331,0.000
HEXIM1,0.000,24.061,Hexim1,0.000,33.380,0.000
INTS3,0.552,44.581,Ints3,0.000,26.660,0.743
SMARCA1,0.000,27.978,Smarca1,0.000,2.750,0.000
TMEM54,0.000,3.785,Tmem54,0.000,0.144,0.000
SGK2,0.000,3.794,Sgk2,0.000,0.162,0.000
SIK2,0.000,6.807,Sik2,0.000,3.920,0.000
PIGS,0.000,18.691,Pigs,0.000,22.850,0.000
SENP3,0.000,30.163,Senp3,0.000,45.960,0.000
EIF2B1,0.000,21.768,Eif2b1,0.000,16.990,0.000
FCHO1,0.000,3.143,Fcho1,0.000,3.168,0.000
CENPN,0.000,9.520,Cenpn,0.000,10.170,0.000
MYO1F,0.000,3.299,Myo1f,0.000,1.046,0.000
SFXN4,0.000,7.898,Sfxn4,0.000,1.218,0.000
